timestamp	step	learning_rate
1664787192871	0	8.70967741935484e-06
1664787234892	2	7.4193548387096784e-06
1664787285943	4	6.129032258064517e-06
1664787327459	6	4.838709677419355e-06
1664787378119	8	3.548387096774194e-06
1664787454838	10	2.2580645161290324e-06
1664787564728	12	9.67741935483871e-07
1664788488391	16	9.047619047619049e-06
1664788670749	18	8.095238095238097e-06
1664788885606	20	7.1428571428571436e-06
1664789072880	22	6.1904761904761914e-06
1664789221747	24	5.2380952380952384e-06
1664789436648	26	4.2857142857142855e-06
1664789612210	28	3.3333333333333333e-06
1664789810615	30	2.380952380952381e-06
1664791466597	32	2.0000000000000003e-06
